filename,meat,veggie,noodle
IMG_20191003_160735.jpg,12,49,187
IMG_20191003_160745.jpg,12,50,200
IMG_20191003_160756.jpg,11,41,174
IMG_20191003_160810.jpg,7,11,101
IMG_20191003_160826.jpg,7,19,124
IMG_20191003_160833.jpg,14,40,186
IMG_20191003_160838.jpg,10,19,149
IMG_20191003_160842.jpg,12,32,157
IMG_20191003_160847.jpg,12,35,164
IMG_20191003_160917.jpg,12,36,207
IMG_20191003_160934.jpg,12,51,208
IMG_20191003_161027.jpg,14,42,194
IMG_20191003_161032.jpg,13,32,202
IMG_20191003_161044.jpg,12,36,192
IMG_20191003_161057.jpg,12,57,180
IMG_20191003_161116.jpg,13,43,197
IMG_20191003_161127.jpg,13,42,200
IMG_20191003_161132.jpg,12,34,187
IMG_20191003_161140.jpg,11,30,192
IMG_20191003_161221.jpg,12,28,234
IMG_20191003_161242.jpg,8,41,220
IMG_20191003_161248.jpg,12,37,209
IMG_20191003_161302.jpg,13,57,219
IMG_20191003_161330.jpg,13,60,224
IMG_20191003_161337.jpg,13,64,221
IMG_20191003_161345.jpg,13,37,234
IMG_20191003_161405.jpg,12,53,241
IMG_20191003_161419.jpg,13,59,224
IMG_20191003_161441.jpg,11,26,236
IMG_20191003_161454.jpg,10,35,231
IMG_20191003_161507.jpg,14,56,222
IMG_20191003_161518.jpg,12,57,234
IMG_20191003_161537.jpg,13,59,230
IMG_20191003_161542.jpg,11,34,213
IMG_20191003_161604.jpg,10,54,236
IMG_20191003_161625.jpg,13,53,228
IMG_20191003_161710.jpg,12,49,230
IMG_20191003_161733.jpg,11,64,220
IMG_20191003_161739.jpg,11,66,227
IMG_20191003_161747.jpg,12,62,220
IMG_20191003_161812.jpg,12,65,227
IMG_20191003_161817.jpg,11,66,230
IMG_20191003_161829.jpg,11,62,231
IMG_20191003_161846.jpg,12,59,235
IMG_20191003_161916.jpg,13,61,226
IMG_20191003_161929.jpg,10,67,234
IMG_20191003_161935.jpg,11,63,228
IMG_20191003_161957.jpg,11,65,234
IMG_20191003_162006.jpg,11,60,218
IMG_20191003_162017.jpg,11,66,225
IMG_20191003_162023.jpg,11,70,226
IMG_20191003_162038.jpg,12,64,228
IMG_20191003_162117.jpg,13,59,219
IMG_20191003_162124.jpg,11,64,227
IMG_20191003_162140.jpg,12,64,231
IMG_20191003_162147.jpg,11,68,233
IMG_20191003_162152.jpg,11,70,222
IMG_20191003_162207.jpg,11,70,220
IMG_20191003_162230.jpg,11,66,218
IMG_20191003_162239.jpg,15,39,207
IMG_20191003_162257.jpg,13,58,212
IMG_20191003_162331.jpg,10,56,207
IMG_20191003_162403.jpg,11,60,224
IMG_20191003_162410.jpg,14,28,201
IMG_20191003_162416.jpg,15,43,178
IMG_20191003_162530.jpg,12,62,221
IMG_20191003_162545.jpg,11,41,175
IMG_20191003_162551.jpg,8,12,81
IMG_20191003_162557.jpg,10,28,164
IMG_20191003_162602.jpg,12,59,204
IMG_20191003_162622.jpg,10,51,181
IMG_20191003_162636.jpg,11,51,208
IMG_20191003_162643.jpg,11,53,192
IMG_20191003_162658.jpg,14,57,211
IMG_20191003_162707.jpg,13,59,211
IMG_20191003_162734.jpg,13,62,210
IMG_20191003_162742.jpg,12,62,212
IMG_20191003_162754.jpg,13,46,202
IMG_20191003_162800.jpg,8,13,85
IMG_20191003_162827.jpg,9,28,116
IMG_20191003_162848.jpg,11,38,150
IMG_20191003_162906.jpg,11,27,167
IMG_20191003_162935.jpg,15,47,188
IMG_20191003_163000.jpg,11,41,150
IMG_20191003_163010.jpg,13,48,176
IMG_20191003_163025.jpg,12,40,153
IMG_20191003_163050.jpg,11,45,140
IMG_20191003_163056.jpg,12,31,121
IMG_20191003_163103.jpg,12,45,178
IMG_20191003_163112.jpg,9,51,147
IMG_20191003_163126.jpg,11,54,175
IMG_20191003_163150.jpg,13,45,196
IMG_20191003_163201.jpg,13,53,210
IMG_20191003_163212.jpg,10,23,134
IMG_20191003_163221.jpg,12,35,152
IMG_20191003_163226.jpg,9,19,121
IMG_20191003_163255.jpg,6,13,87
IMG_20191003_163312.jpg,12,35,153
IMG_20191003_163320.jpg,11,37,146
IMG_20191003_163332.jpg,8,13,123
IMG_20191003_163351.jpg,6,16,88
IMG_20191003_163404.jpg,7,34,111
IMG_20191003_163415.jpg,9,11,73
IMG_20191003_163423.jpg,8,11,80
IMG_20191003_163452.jpg,6,25,92
IMG_20191003_163511.jpg,7,11,42
IMG_20191003_163520.jpg,11,43,123
IMG_20191003_163529.jpg,4,18,75
IMG_20191003_163545.jpg,6,17,96
IMG_20191003_163556.jpg,9,11,56
IMG_20191003_163602.jpg,6,16,97
IMG_20191003_163607.jpg,9,28,122
IMG_20191003_163611.jpg,9,25,132
IMG_20191003_163822.jpg,6,11,76
IMG_20191003_163829.jpg,4,11,49
IMG_20191003_163835.jpg,6,11,43
IMG_20191003_163841.jpg,7,3,42
IMG_20191003_163855.jpg,7,17,54
IMG_20191003_163929.jpg,6,19,53
IMG_20191003_163936.jpg,6,9,29
IMG_20191003_163945.jpg,4,10,39
IMG_20191003_163949.jpg,5,7,27
IMG_20191003_163955.jpg,7,5,42
IMG_20191003_164035.jpg,3,11,27
IMG_20191003_164047.jpg,4,15,44
IMG_20191003_164053.jpg,6,6,18
IMG_20191003_164101.jpg,4,21,38
IMG_20191003_164112.jpg,4,8,27
IMG_20191003_164125.jpg,4,13,20
IMG_20191003_164132.jpg,4,10,28
IMG_20191003_164137.jpg,5,6,10
IMG_20191003_164232.jpg,3,13,39
IMG_20191003_164239.jpg,4,8,14
IMG_20191003_164245.jpg,4,7,15
IMG_20191003_164317.jpg,4,10,17
IMG_20191003_164326.jpg,4,10,15
IMG_20191003_164335.jpg,3,16,20
IMG_20191003_164340.jpg,3,6,13
IMG_20191003_164650.jpg,3,30,25
IMG_20191003_164811.jpg,6,2,24
IMG_20191003_164816.jpg,6,5,28
IMG_20191003_164820.jpg,4,7,26
IMG_20191003_164848.jpg,5,8,12
IMG_20191003_164853.jpg,3,5,16
IMG_20191003_164902.jpg,5,1,5
IMG_20191003_164935.jpg,4,7,10
IMG_20191003_164948.jpg,3,5,11
IMG_20191003_165018.jpg,3,6,10
IMG_20191003_165033.jpg,2,10,22
IMG_20191003_165045.jpg,3,9,19
